FECHA_AMB;Valor_AMB
1/08/2019 5:00;21.6
1/08/2019 6:00;23.7
1/08/2019 7:00;24.1
1/08/2019 8:00;22.2
1/08/2019 9:00;17.3
1/08/2019 10:00;15.6
1/08/2019 11:00;14.7
1/08/2019 12:00;18.8
1/08/2019 13:00;13.6
1/08/2019 14:00;14.3
1/08/2019 15:00;9.7
1/08/2019 16:00;10.9
1/08/2019 17:00;14.1
1/08/2019 18:00;12.7
1/08/2019 19:00;13.1
1/08/2019 20:00;13.6
1/08/2019 21:00;14.8
1/08/2019 22:00;15.1
1/08/2019 23:00;16
2/08/2019 0:00;15.6
2/08/2019 1:00;14
2/08/2019 2:00;19.1
2/08/2019 3:00;13.9
2/08/2019 4:00;12.7
2/08/2019 5:00;13.4
2/08/2019 6:00;18.4
2/08/2019 7:00;18.7
2/08/2019 8:00;18.7
2/08/2019 9:00;16.3
2/08/2019 10:00;14
2/08/2019 11:00;15
2/08/2019 12:00;16.5
2/08/2019 13:00;15.1
2/08/2019 14:00;11
2/08/2019 15:00;6.7
2/08/2019 16:00;11.1
2/08/2019 17:00;13.6
2/08/2019 18:00;14.5
2/08/2019 19:00;13.2
2/08/2019 20:00;13.6
2/08/2019 21:00;12.1
2/08/2019 22:00;17
2/08/2019 23:00;12.5
3/08/2019 0:00;9.6
3/08/2019 1:00;10.1
3/08/2019 2:00;10.4
3/08/2019 3:00;10.4
3/08/2019 4:00;10
3/08/2019 5:00;12.1
3/08/2019 6:00;11
3/08/2019 7:00;12.2
3/08/2019 8:00;18.5
3/08/2019 9:00;17.8
3/08/2019 10:00;18.4
3/08/2019 11:00;15
3/08/2019 12:00;12.6
3/08/2019 13:00;13.8
3/08/2019 14:00;11.1
3/08/2019 15:00;11.5
3/08/2019 16:00;7.9
3/08/2019 17:00;8.3
3/08/2019 18:00;11.2
3/08/2019 19:00;12
3/08/2019 20:00;13.2
3/08/2019 21:00;15.2
3/08/2019 22:00;13.6
3/08/2019 23:00;15
4/08/2019 0:00;12.9
4/08/2019 1:00;9.8
4/08/2019 2:00;9.5
4/08/2019 3:00;8.6
4/08/2019 4:00;9.9
4/08/2019 5:00;13.3
4/08/2019 6:00;8.6
4/08/2019 7:00;8.8
4/08/2019 8:00;7.6
4/08/2019 9:00;11.3
4/08/2019 10:00;10.5
4/08/2019 11:00;8.4
4/08/2019 12:00;8.3
4/08/2019 13:00;7.3
4/08/2019 14:00;7.2
4/08/2019 15:00;6.2
4/08/2019 16:00;6.4
4/08/2019 17:00;8.4
4/08/2019 18:00;11.1
4/08/2019 19:00;11.4
4/08/2019 20:00;11.7
4/08/2019 21:00;9.5
4/08/2019 22:00;6.3
4/08/2019 23:00;7.2
5/08/2019 0:00;6.4
5/08/2019 1:00;5.8
5/08/2019 2:00;6.5
5/08/2019 3:00;5.8
5/08/2019 4:00;6
5/08/2019 5:00;7
5/08/2019 6:00;10
5/08/2019 7:00;8.7
5/08/2019 8:00;11.5
5/08/2019 9:00;12.6
5/08/2019 10:00;11.1
5/08/2019 11:00;8.6
5/08/2019 12:00;8
5/08/2019 13:00;7.5
5/08/2019 14:00;9.3
5/08/2019 15:00;8.6
5/08/2019 16:00;8.7
5/08/2019 17:00;12.1
5/08/2019 18:00;16.3
5/08/2019 19:00;13.8
5/08/2019 20:00;16.3
5/08/2019 21:00;14.2
5/08/2019 22:00;13.2
5/08/2019 23:00;10.6
6/08/2019 0:00;9.9
6/08/2019 1:00;8.5
6/08/2019 2:00;8.1
6/08/2019 3:00;10.4
6/08/2019 4:00;10.1
6/08/2019 5:00;14.4
6/08/2019 6:00;15.7
6/08/2019 7:00;18
6/08/2019 8:00;19.7
6/08/2019 9:00;14.9
6/08/2019 10:00;12.8
6/08/2019 11:00;15.8
6/08/2019 12:00;15.5
6/08/2019 13:00;15.6
6/08/2019 14:00;16.4
6/08/2019 15:00;16.1
6/08/2019 16:00;16.9
6/08/2019 17:00;21.6
6/08/2019 18:00;20.1
6/08/2019 19:00;23.4
6/08/2019 20:00;25
6/08/2019 21:00;17.7
6/08/2019 22:00;12.8
6/08/2019 23:00;17.9
7/08/2019 0:00;17.7
7/08/2019 1:00;16.7
7/08/2019 2:00;18.3
7/08/2019 3:00;13.9
7/08/2019 4:00;15
7/08/2019 5:00;15
7/08/2019 6:00;18.1
7/08/2019 7:00;21.5
7/08/2019 8:00;19.5
7/08/2019 9:00;17.7
7/08/2019 10:00;18
7/08/2019 11:00;17.8
7/08/2019 12:00;18.7
7/08/2019 13:00;16.8
7/08/2019 14:00;18.7
7/08/2019 15:00;19.8
7/08/2019 16:00;16.9
7/08/2019 17:00;19.1
7/08/2019 18:00;20.7
7/08/2019 19:00;23.2
7/08/2019 20:00;25.5
7/08/2019 21:00;25.5
7/08/2019 22:00;23.6
7/08/2019 23:00;22.6
8/08/2019 0:00;23.2
8/08/2019 1:00;20.6
8/08/2019 2:00;22.4
8/08/2019 3:00;20.3
8/08/2019 4:00;20.8
8/08/2019 5:00;20.8
8/08/2019 6:00;23
8/08/2019 7:00;24.2
8/08/2019 8:00;25.1
8/08/2019 9:00;25
8/08/2019 10:00;28
8/08/2019 11:00;19.9
8/08/2019 12:00;19.1
8/08/2019 13:00;17.6
8/08/2019 14:00;15.4
8/08/2019 15:00;16.1
8/08/2019 16:00;17.3
8/08/2019 17:00;18.6
8/08/2019 18:00;17.8
8/08/2019 19:00;22.9
8/08/2019 20:00;23.4
8/08/2019 21:00;21
8/08/2019 22:00;23.3
8/08/2019 23:00;24.6
9/08/2019 0:00;21.4
9/08/2019 1:00;18.1
9/08/2019 2:00;15.9
9/08/2019 3:00;16.4
9/08/2019 4:00;14.5
9/08/2019 5:00;14.7
9/08/2019 6:00;23.7
9/08/2019 7:00;18.7
9/08/2019 8:00;16.5
9/08/2019 9:00;17.5
9/08/2019 10:00;17.2
9/08/2019 11:00;18.2
9/08/2019 12:00;17
9/08/2019 13:00;15.5
9/08/2019 14:00;16.9
9/08/2019 15:00;18
9/08/2019 16:00;18.1
9/08/2019 17:00;22.9
9/08/2019 18:00;23.6
9/08/2019 19:00;24.4
9/08/2019 20:00;23.5
9/08/2019 21:00;23.2
9/08/2019 22:00;24.8
9/08/2019 23:00;25.3
10/08/2019 0:00;25.2
10/08/2019 1:00;24.1
10/08/2019 2:00;25.1
10/08/2019 3:00;25.8
10/08/2019 4:00;21.6
10/08/2019 5:00;18.5
10/08/2019 6:00;22.9
10/08/2019 7:00;28.8
10/08/2019 8:00;23.8
10/08/2019 9:00;22.5
10/08/2019 10:00;19.5
10/08/2019 11:00;19.6
10/08/2019 12:00;18.6
10/08/2019 13:00;18.7
10/08/2019 14:00;15.4
10/08/2019 15:00;16.6
10/08/2019 16:00;17.8
10/08/2019 17:00;17
10/08/2019 18:00;19.5
10/08/2019 19:00;19
10/08/2019 20:00;18.8
10/08/2019 21:00;13.1
10/08/2019 22:00;15
10/08/2019 23:00;15.7
11/08/2019 0:00;17.9
11/08/2019 1:00;15.4
11/08/2019 2:00;8.9
11/08/2019 3:00;13.3
11/08/2019 4:00;14.2
11/08/2019 5:00;14.1
11/08/2019 6:00;13.6
11/08/2019 7:00;15.7
11/08/2019 8:00;14
11/08/2019 9:00;12.6
11/08/2019 10:00;13.5
11/08/2019 11:00;13.7
11/08/2019 12:00;14.6
11/08/2019 13:00;14.9
11/08/2019 14:00;16.1
11/08/2019 15:00;14.2
11/08/2019 16:00;15
11/08/2019 17:00;6.7
11/08/2019 18:00;4.7
11/08/2019 19:00;5.5
11/08/2019 20:00;7.5
11/08/2019 21:00;6.8
11/08/2019 22:00;5.5
11/08/2019 23:00;6.9
12/08/2019 0:00;5.2
12/08/2019 1:00;6
12/08/2019 2:00;6.1
12/08/2019 3:00;5.7
12/08/2019 4:00;6
12/08/2019 5:00;5.9
12/08/2019 6:00;14.7
12/08/2019 7:00;13.6
12/08/2019 8:00;12.6
12/08/2019 9:00;11.9
12/08/2019 10:00;9
12/08/2019 11:00;9.7
12/08/2019 12:00;9.9
12/08/2019 13:00;8.7
12/08/2019 14:00;8.7
12/08/2019 15:00;8.6
12/08/2019 16:00;9.2
12/08/2019 17:00;11.1
12/08/2019 18:00;12.4
12/08/2019 19:00;14.5
12/08/2019 20:00;17.7
12/08/2019 21:00;17.7
12/08/2019 22:00;14.1
12/08/2019 23:00;14.6
13/08/2019 0:00;13.8
13/08/2019 1:00;15.9
13/08/2019 2:00;13.3
13/08/2019 3:00;11.7
13/08/2019 4:00;8.1
13/08/2019 5:00;9.1
13/08/2019 6:00;11.3
13/08/2019 7:00;13.7
13/08/2019 8:00;16.1
13/08/2019 9:00;12.4
13/08/2019 10:00;10.1
13/08/2019 11:00;12.7
13/08/2019 12:00;12.2
13/08/2019 13:00;12.7
13/08/2019 14:00;14.4
13/08/2019 15:00;12.7
13/08/2019 16:00;12.4
13/08/2019 17:00;13.1
13/08/2019 18:00;16.8
13/08/2019 19:00;12.7
13/08/2019 20:00;16.2
13/08/2019 21:00;16.8
13/08/2019 22:00;13.6
13/08/2019 23:00;13.7
14/08/2019 0:00;15.6
14/08/2019 1:00;12.8
14/08/2019 2:00;14.3
14/08/2019 3:00;13.4
14/08/2019 4:00;12.1
14/08/2019 5:00;13.2
14/08/2019 6:00;18.2
14/08/2019 7:00;19.8
14/08/2019 8:00;20.1
14/08/2019 9:00;20
14/08/2019 10:00;21.8
14/08/2019 11:00;13.3
14/08/2019 12:00;13.6
14/08/2019 13:00;12.2
14/08/2019 14:00;12.2
14/08/2019 15:00;9.2
14/08/2019 16:00;9.3
14/08/2019 17:00;13.9
14/08/2019 18:00;12.5
14/08/2019 19:00;18.1
14/08/2019 20:00;16.1
14/08/2019 21:00;13.7
14/08/2019 22:00;14.5
14/08/2019 23:00;13.2
15/08/2019 0:00;8.9
15/08/2019 1:00;7.3
15/08/2019 2:00;10.6
15/08/2019 3:00;8
15/08/2019 4:00;9.1
15/08/2019 5:00;10.9
15/08/2019 6:00;13.8
15/08/2019 7:00;16.2
15/08/2019 8:00;15.3
15/08/2019 9:00;18.1
15/08/2019 10:00;24.1
15/08/2019 11:00;13.7
15/08/2019 12:00;10.1
15/08/2019 13:00;9.3
15/08/2019 14:00;8.7
15/08/2019 15:00;9.8
15/08/2019 16:00;11.7
15/08/2019 17:00;16
15/08/2019 18:00;16.5
15/08/2019 19:00;15.7
15/08/2019 20:00;12.7
15/08/2019 21:00;14.4
15/08/2019 22:00;16.7
15/08/2019 23:00;13.9
16/08/2019 0:00;15.1
16/08/2019 1:00;13.1
16/08/2019 2:00;10.8
16/08/2019 3:00;11.8
16/08/2019 4:00;13.5
16/08/2019 5:00;15.8
16/08/2019 6:00;19.5
16/08/2019 7:00;21.2
16/08/2019 8:00;27.3
16/08/2019 9:00;21.7
16/08/2019 10:00;19.2
16/08/2019 11:00;16.1
16/08/2019 12:00;15
16/08/2019 13:00;14.2
16/08/2019 14:00;15.2
16/08/2019 15:00;13.9
16/08/2019 16:00;19
16/08/2019 17:00;22.1
16/08/2019 18:00;19.1
16/08/2019 19:00;18
16/08/2019 20:00;13.9
16/08/2019 21:00;13.7
16/08/2019 22:00;16.7
16/08/2019 23:00;16.8
17/08/2019 0:00;12.4
17/08/2019 1:00;4.7
17/08/2019 2:00;6.4
17/08/2019 3:00;6.8
17/08/2019 4:00;9.3
17/08/2019 5:00;10.2
17/08/2019 6:00;14.2
17/08/2019 7:00;14.4
17/08/2019 8:00;20
17/08/2019 9:00;22.7
17/08/2019 10:00;22.4
17/08/2019 11:00;20.3
17/08/2019 12:00;18.4
17/08/2019 13:00;20.1
17/08/2019 14:00;21.2
17/08/2019 15:00;21.8
17/08/2019 16:00;19.6
17/08/2019 17:00;18.4
17/08/2019 18:00;21.1
17/08/2019 19:00;20.3
17/08/2019 20:00;20
17/08/2019 21:00;21.7
17/08/2019 22:00;26
17/08/2019 23:00;29
18/08/2019 0:00;25.6
18/08/2019 1:00;24.9
18/08/2019 2:00;25.5
18/08/2019 3:00;26.7
18/08/2019 4:00;26.1
18/08/2019 5:00;24.3
18/08/2019 6:00;25.2
18/08/2019 7:00;23.8
18/08/2019 8:00;27.8
18/08/2019 9:00;24.5
18/08/2019 10:00;27.9
18/08/2019 11:00;25.2
18/08/2019 12:00;23.2
18/08/2019 13:00;22.4
18/08/2019 14:00;21.7
18/08/2019 15:00;17.1
18/08/2019 16:00;17
18/08/2019 17:00;19.5
18/08/2019 18:00;9.4
18/08/2019 19:00;14.4
18/08/2019 20:00;14.4
